variable_name,label,explication,sens_risque,impact
EXT_SOURCE_1,Score externe de risque 1,Score de risque fourni par une source externe.,négatif,"Plus le score est élevé, plus la probabilité de défaut diminue."
EXT_SOURCE_2,Score externe de risque 2,Score de risque fourni par une source externe.,négatif,"Plus le score est élevé, plus la probabilité de défaut diminue."
EXT_SOURCE_3,Score externe de risque 3,Score de risque fourni par une source externe.,négatif,Une valeur élevée réduit significativement le risque de défaut.
PAYMENT_RATE,Taux de paiement mensuel,Part du revenu consacrée au remboursement du crédit.,positif,Un taux élevé augmente fortement le risque de défaut.
INSTAL_DPD_MEAN,Retards de paiement moyens,Nombre moyen de jours de retard sur les crédits précédents.,positif,Des retards fréquents signalent un risque accru de non-remboursement.
DAYS_EMPLOYED,Ancienneté dans l'emploi,Nombre de jours depuis le début de l'emploi actuel.,négatif,Une ancienneté élevée réduit le risque de défaut.
CODE_GENDER,"Genre (1 = Femme, 0 = Homme)","Genre déclaré du demandeur (1 = Femme, 0 = Homme).",négatif,Les femmes ont historiquement un meilleur taux de remboursement.
AMT_ANNUITY,Montant de l'annuité,Montant annuel à rembourser pour le crédit.,positif,Des annuités élevées augmentent la charge de remboursement.
AMT_CREDIT,Montant total du crédit,Montant total emprunté par le client.,positif,Un montant élevé accroît le risque de défaut.
NAME_EDUCATION_TYPE_Études supérieures,Niveau d'études élevé,Le client possède un diplôme d’études supérieures.,négatif,Un niveau d’études élevé réduit généralement le risque de défaut.
NAME_EDUCATION_TYPE_Études non supérieures,Niveau d'études bas.,Le client n’a pas fait d’études supérieures.,positif,Un niveau d’études moins élevé peut augmenter le risque de défaut.
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,Moyenne des retraits DAB par mois,Nombre moyen de retraits effectués aux distributeurs automatiques (DAB) par mois sur la carte de crédit.,positif,"Un nombre élevé de retraits DAB peut indiquer un besoin de liquidités, donc un risque accru."
DAYS_BIRTH,Nombre de jour depuis la naissance,Le nombre de jours depuis la naissance du client.,négatif,Les personnes plus agées ont remboursent plus.
INSTAL_AMT_INSTALMENT_SUM,Somme des mensualités prévues ,Somme totale des montants des échéances (mensualités) prévues pour le(s) crédit(s) du client. ,positif,"Un montant total élevé peut indiquer un engagement financier important, donc un risque accru. "
PREV_CNT_PAYMENT_MEAN,Nombre moyen de paiements sur anciens crédits ,Nombre moyen de paiements effectués sur les crédits précédents du client. ,négatif,"Un nombre élevé indique une bonne expérience de remboursement, ce qui réduit le risque. "
NAME_CONTRACT_TYPE_Cash loans,Prét personnel (cash) ,"Prét dont le montant est versé directement au client, utilisable librement pour tout usage. ",positif,"Ce type de prét, non affecté, présente généralement un risque plus élevé pour la banque. "
PREV_APP_CREDIT_PERC_MIN,Ratio minimum montant demandé/accordé (anciens crédits) ,Plus faible ratio entre le montant demandé et le montant accordé sur les précédentes demandes de crédit du client. ,positif,"Un ratio faible peut indiquer que le client a déjé obtenu moins que ce quéil demandait, ce qui peut signaler un risque accru. "
DAYS_ID_PUBLISH,Ancienneté de la piéce d'identité ,Nombre de jours écoulés depuis la délivrance ou la mise é jour de la piéce d'identité du client. ,positif,Une piéce d'identité trés récente ou trés ancienne peut signaler un risque accru. 
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,Taux moyen de refus sur les anciens dossiers de crédit ,Proportion des demandes de crédit précédentes du client qui ont été refusées par d’autres établissements financiers ou par la banque elle-même. ,positif,"Plus ce taux est élevé, plus cela indique que le client a eu des refus de crédit dans le passé, ce qui est généralement un signal de risque accru. "
INSTAL_PAYMENT_DIFF_SUM,Somme des écarts de paiement sur les mensualités précédentes ,C’est la somme totale des différences (en valeur absolue) entre le montant que le client devait payer et le montant qu’il a réellement payé sur l’ensemble de ses précédentes échéances de crédit. ,positif,"Un écart important indique que le client ne paie pas toujours exactement ce qu’il doit, ce qui peut signaler une gestion financière moins rigoureuse ou des difficultés de paiement. "
DEF_30_CNT_SOCIAL_CIRCLE,Nombre d’incidents de défaut à 30 jours dans l’entourage social ,"Il s’agit du nombre de personnes dans l’entourage proche du client (famille, amis, cercle social déclaré) qui ont eu au moins un incident de paiement (défaut) de plus de 30 jours sur un crédit. ",positif,"Un nombre élevé indique que le client est entouré de personnes ayant eu des difficultés à rembourser leurs crédits, ce qui peut être perçu comme un facteur de risque supplémentaire par la banque. "
OWN_CAR_AGE,Âge du véhicule personnel ,Nombre de jours depuis l’achat ou la première mise en circulation de la voiture personnelle du client. ,positif,"Un véhicule plus ancien peut être un indicateur de ressources financières plus limitées ou d’une moindre capacité à renouveler son patrimoine, ce qui peut influencer l’évaluation du risque de crédit. "
INSTAL_PAYMENT_DIFF_MEAN,Moyenne des écarts de paiement sur les mensualités précédentes ,C’est la moyenne des différences (en valeur absolue) entre le montant que le client devait payer et le montant qu’il a réellement payé sur l’ensemble de ses précédentes échéances de crédit. ,positif,"Un écart moyen important indique que le client ne paie pas toujours exactement ce qu’il doit, ce qui peut signaler une gestion financière moins rigoureuse ou des difficultés de paiement. "
DAYS_EMPLOYED_PERC,Ratio ancienneté emploi / âge ,C’est le rapport entre le nombre de jours travaillés dans l’emploi actuel (DAYS_EMPLOYED) et l’âge du client en jours (DAYS_BIRTH). Cela donne la proportion de la vie du client passée dans son emploi actuel,négatif,"Un ratio élevé indique que le client occupe son emploi actuel depuis une grande partie de sa vie, ce qui peut être perçu comme un signe de stabilité professionnelle. "
ANNUITY_INCOME_PERC,Ratio annuité/revenu ,C’est le rapport entre le montant annuel des annuités de crédit à rembourser (AMT_ANNUITY) et le revenu annuel total du client (AMT_INCOME_TOTAL). Cela mesure la part du revenu du client consacrée au remboursement de ses crédits.,positif,"Un ratio élevé indique que le client consacre une part importante de ses revenus au remboursement de ses crédits, ce qui peut limiter sa capacité à faire face à d’autres dépenses ou à de nouveaux crédits. "
PREV_NAME_YIELD_GROUP_low_action_MEAN ,"Taux moyen de crédits antérieurs dans la catégorie ""rendement faible"" ","Il s’agit de la proportion moyenne des anciens dossiers de crédit du client qui étaient classés dans le groupe de rendement (""yield group"") intitulé ""low action"" (généralement, cela signifie un rendement faible ou une action limitée attendue du crédit).",positif,"Un taux élevé peut indiquer que le client a surtout eu des crédits peu risqués ou peu rentables dans le passé, ce qui peut être interprété différemment selon la politique de la banque : soit comme une prudence, soit comme une faible prise de risque. "
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,Montant moyen des limites de crédit externes ,"Il s’agit de la moyenne des plafonds de crédit accordés au client par d’autres établissements financiers (cartes de crédit, prêts renouvelables, etc.), telle qu’elle ressort des bases de données externes ",positif,"Un montant élevé peut indiquer que le client a accès à des lignes de crédit importantes, ce qui peut augmenter le risque de surendettement si ces limites sont utilisées. À l’inverse, un montant modéré ou faible peut être perçu comme plus prudent. "
INSTAL_PAYMENT_PERC_MEAN,Taux moyen de paiement des mensualités précédentes ,"Cette variable mesure, en moyenne, le rapport entre le montant effectivement payé et le montant exigé lors des précédentes échéances de crédit. Un taux de 1 signifie que le client paie exactement ce qui est dû ; un taux supérieur à 1 indique des paiements anticipés ou supérieurs, tandis qu’un taux inférieur à 1 révèle des paiements partiels ou en retard. ",négatif,"Un taux élevé (proche ou supérieur à 1) traduit un bon comportement de remboursement et réduit le risque de défaut. Un taux faible (inférieur à 1) signale des difficultés à honorer les paiements, ce qui augmente le risque. "
PREV_NAME_YIELD_GROUP_low_action_MEAN ,Part moyenne des anciens crédits à faible rendement ,Cette variable représente la proportion moyenne des anciens crédits du client qui étaient classés dans la catégorie “faible rendement” (“low action”) lors de précédentes demandes de crédit. Cela indique la fréquence à laquelle le client a souscrit à des produits financiers considérés comme peu rentables ,négatif,"Une proportion élevée de crédits à faible rendement peut être perçue positivement : cela signifie que le client a tendance à choisir des produits moins risqués et plus classiques, ce qui est généralement associé à un profil prudent et à un risque de défaut plus faible. "
INSTAL_AMT_INSTALMENT_MAX,Montant maximal d’une mensualité précédente ,Il s’agit du montant le plus élevé payé par le client lors d’une seule échéance (mensualité) sur ses crédits précédents. Cette variable reflète la capacité du client à faire face à des paiements importants dans le passé. ,positif,"Un montant élevé peut indiquer que le client a déjà supporté des mensualités importantes, ce qui peut être rassurant si ses revenus sont en cohérence. Mais, si ce montant est très élevé par rapport à ses capacités financières, cela peut aussi signaler un risque de surendettement. "
POS_MONTHS_BALANCE_SIZE,Ancienneté moyenne de l’historique de crédit renouvelable ,Cette variable indique la durée (en nombre de mois) pendant laquelle le client a eu un crédit renouvelable actif (type carte de crédit ou crédit à la consommation). Elle mesure la profondeur de l’historique sur ce type de produit. ,négatif,"Une ancienneté élevée traduit une expérience plus longue avec ce type de crédit, ce qui peut être perçu comme un signe de stabilité et de gestion responsable. À l’inverse, une ancienneté faible peut indiquer un manque d’expérience ou une ouverture récente, ce qui est parfois associé à un risque plus élevé. "
PREV_NAME_YIELD_GROUP_low_action_MEAN,Part moyenne des anciens crédits à faible rendement ,Cette variable mesure la proportion moyenne des anciens crédits du client qui étaient classés dans la catégorie “faible rendement” (“low action”) lors de ses précédentes demandes de crédit. Cela indique la fréquence à laquelle le client a souscrit à des produits financiers considérés comme peu rentables ou peu risqués (généralement des prêts classiques à faible taux ou faible marge pour la banque). ,négatif,"Une proportion élevée de crédits à faible rendement est généralement perçue positivement : cela signifie que le client a tendance à choisir des produits plus simples et moins risqués, ce qui est souvent associé à un profil prudent et à un risque de défaut plus faible. "
